processed_queries,elapsed_seconds,true,heuristic,tanh,pgap
200,15.110151643166319,0.019439762913797145,0.08743100191279579,0.008437504871037877,0.0009745620111442643
400,30.211932139005512,0.019959927284424105,0.09297707843461206,0.008418535150498386,0.0009738458823740662
600,45.3022689090576,0.02227084055405227,0.0936213419812723,0.009313359514214069,0.0010919288833945164
800,60.403464964125305,0.02359692111719611,0.09510913693914518,0.008837261385710775,0.0009921940015598
1000,75.50033555412665,0.023216884013731967,0.09388287703544226,0.009313359514214069,0.0010914717287172273
1200,90.59647054504603,0.02529793508226271,0.09388287703544226,0.009067962356508853,0.0010150639592462316
1400,105.69002843508497,0.026819807317745182,0.09484463536336098,0.008952738240644329,0.0010147830834239977
1600,120.7803347920999,0.025988484345230697,0.09402415348140046,0.008952738240644329,0.0010147830834239977
1800,135.86441357200965,0.025988484345230697,0.09387053386157646,0.009067197312188175,0.0010392961100165932
2000,150.95103266695514,0.025988484345230697,0.09387053386157646,0.008951732346215878,0.0009914254130794578
2200,166.0437155449763,0.025988484345230656,0.09387053386157646,0.008951732346215874,0.0009914254130794526
2400,181.13408669596538,0.026178328522857303,0.09387053386157646,0.009124874869906058,0.001015416667341646
2600,196.2186775780283,0.02557572434721191,0.09387053386157646,0.009067197312188163,0.0010145428788501836
2800,211.30782747711055,0.025285452868756962,0.09387053386157646,0.009124874869906058,0.0010153635848276317
3000,226.40467776707374,0.025285452868756962,0.09387053386157646,0.008967038255852386,0.0010145428788501836
3200,241.50267292698845,0.025285452868756962,0.09387053386157646,0.009124874869906058,0.0010153635848276317
3400,256.5962558509782,0.02589232552298172,0.09362134198127223,0.0091944627420853,0.0010339417512616965
3600,271.69426448107697,0.025574771754753457,0.09387198744631621,0.009124874869906058,0.0010339417512616965
3800,286.7930270670913,0.02526495945415302,0.09429560563021873,0.009124874869906058,0.0010339417512616965
4000,301.89559152699076,0.025285435197022973,0.09401868946850178,0.00909453265353985,0.0010153635848276317
4200,316.9900069809519,0.02583280359239008,0.09401589233555521,0.009094532653539864,0.0010197198453110333
4400,332.08586271712556,0.025574180145277497,0.09401589233555521,0.00906689791882846,0.0010152204653989842
4600,347.1825672821142,0.0252854351970231,0.09401589233555521,0.00906689791882846,0.001014542878850184
4800,362.28450633608736,0.02526495945415303,0.09401589233555521,0.009094532653539864,0.0010117983620539688
5000,377.3823918639682,0.02526495945415303,0.09401589233555521,0.00920090671398919,0.0010391969201492416
5200,392.4887877970468,0.025182278680123203,0.09401589233555521,0.009223878709960533,0.0010391999827713146
5400,407.58050292311236,0.025157670043858958,0.09387198744631628,0.009247479458809466,0.0010391999827713146
5600,422.6907357519958,0.025182278680123203,0.09387053386157646,0.009299398315007626,0.0010391969201492416
5800,437.7927502770908,0.0252854351970231,0.09401589233555521,0.009247479458809466,0.0010378881271594007
6000,452.9003889739979,0.02526495945415303,0.09387198744631628,0.009247479458809466,0.0010378881271594007
6200,467.99997271504253,0.02526495945415303,0.09387053386157646,0.009223878709960533,0.0010347348596817332
6400,483.1143237350043,0.025157670043858958,0.09401589233555521,0.009247479458809466,0.0010347348596817332
6600,498.2181354421191,0.02504545793559511,0.09401589233555521,0.009247479458809466,0.0010347348596817332
6800,513.3289204030298,0.024931641536403985,0.09401589233555521,0.009225055323064843,0.0010338968134805233
7000,528.4341854329687,0.024913301271224913,0.09401589233555521,0.00920090671398919,0.0010221971010126328
7200,543.5426125740632,0.025157670043858958,0.09401589233555521,0.009223657490115509,0.0010298035810713654
7400,558.6478674809914,0.025157670043858958,0.09401589233555521,0.009223657490115509,0.0010221971010126328
7600,573.7623958571348,0.025182278680123203,0.09401589233555521,0.009223657490115509,0.0010200570380427475
7800,588.8676019341219,0.02526495945415303,0.0940186894685019,0.009223657490115509,0.0010200570380427475
8000,603.997464710148,0.02526495945415303,0.09429560563021873,0.00920090671398919,0.0010195813205548252
8200,619.115082387114,0.025157670043858958,0.09430106964311746,0.009194462742085302,0.0010152204653989842
8400,634.2220894121565,0.02504545793559511,0.09430106964311746,0.00920090671398919,0.0010195813205548252
8600,649.3297639060766,0.02504545793559511,0.09429560563021873,0.009223657490115509,0.0010195813205548252
8800,664.442596598994,0.02504545793559511,0.09429560563021873,0.009225055323064843,0.0010200570380427475
9000,679.554506578017,0.02504545793559511,0.0948420069200802,0.00922493633548057,0.0010200570380427475
9200,694.6722292420454,0.024964448366605576,0.09430106964311746,0.00920090671398919,0.0010152204653989842
9400,709.7863556640223,0.024931641536403985,0.0948420069200802,0.009223657490115509,0.0010200570380427475
9600,724.9036513580941,0.02514099123896301,0.0948420069200802,0.009223657490115509,0.0010200570380427475
9800,740.0512733871583,0.02526495945415303,0.0948420069200802,0.009223657490115509,0.0010200570380427475
10000,755.2346829921007,0.025157670043858958,0.0948420069200802,0.009194462742085302,0.0010152204653989842
